chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_contrast,poly_features,tonnetz,tempogram
0.50409245,2389.8237701220596,2953.0529444061044,5243.918290743518,0.048952914499132985,0.4132649,0.24515250075841652,2.104327,-0.8444502,0.10235891,20.01603523445038,1.2555582989138614,-0.03555064347518471,0.2631562901058651
0.4722355,3220.948415670397,3257.5304183055864,6732.967619999275,0.08665823346882613,0.5132142,0.2647663070661921,4.1942453,2.6340132,0.15351488,20.09544772720233,2.330194034152114,-0.02746088185908919,0.226132418834834
0.51843673,2511.827282228342,3169.465588579216,5820.539803992115,0.04579136040381065,0.53670853,0.2613287417209467,3.0458703,0.22853933,0.111049615,19.93279763837669,1.2075569232186865,-0.009371037371416977,0.1716746384881189
0.59615225,2335.2853688222503,2249.0848485980596,4549.197491625145,0.060590841599797815,0.32400516,0.22911382639791575,17.817642,8.729263,0.3158147,20.094829615489807,3.8323075172987924,-0.016447843321192073,0.28822186407394834
0.32080078,905.9621642994381,1119.9590129057492,1532.9573970830108,0.024643471423657182,0.41905278,0.21045535819814637,9.138466,-13.609952,0.15669265,21.094833193181692,0.9716473845362525,-0.03929709957950888,0.05578192267912215
0.5140806,3253.319951200211,3603.034476521399,7284.422618759675,0.07158650302226154,0.4445166,0.24499337844472127,2.4385028,0.8462793,0.107852526,20.418501953912386,1.2824596075904116,0.04401540266853571,0.22369398507009652
0.32943213,3224.5801663200427,3894.5436380307274,8061.242921433582,0.06916635075082664,0.40633348,0.2434480796863739,1.3118123,-1.3395827,0.07955686,22.38936943015027,0.8259702781270553,-0.01626013876116086,0.2157087228846583
0.45029923,2884.6359775752608,3152.471519414628,6077.104919244631,0.06936206061371918,0.4589508,0.2588030753978937,16.242655,6.8289304,0.29637453,20.212565965989377,3.911517709945194,0.028092295300061625,0.2633223814487391
0.5056077,3848.5439755863154,3673.59011622325,8142.867427861358,0.10895554713113315,0.46180746,0.26033466382700426,13.775029,7.0579853,0.28914422,19.13847292779281,4.78145911093217,0.006626001232813268,0.2372557153328926
0.40120652,2244.9396739068447,2525.3921179184126,4284.265760297746,0.05962763175445617,0.48463336,0.2537838400920762,6.389695,3.2484796,0.18627067,19.973052922212926,2.6495562415559877,0.011862286669287094,0.28904202196878287
0.3188572,2067.407119587301,2172.0895978913413,3897.3264334002515,0.06330144338437128,0.41936243,0.2397285077344049,4.4727044,1.3597493,0.16769019,22.156772908869723,1.9507843028774803,0.01988174991919896,0.25545641715618717
0.5420949,2376.074878103655,2939.831291464729,5472.208576970056,0.0412437694375996,0.43089855,0.23511502054578912,16.267,3.847278,0.25806725,21.965769519911316,2.198154491387292,-0.007211781203448205,0.19756879457344786
0.49229753,2141.617954478302,2349.0107191691886,4279.165791136562,0.05813548226308067,0.53490275,0.260690190805354,4.836434,0.5621038,0.16420248,19.53097169045009,2.4500271583704856,0.014777929915001363,0.275292148946867
