,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_contrast,poly_features,tonnetz,tempogram,music
0,0.50409245,2389.82377012206,2953.052944406105,5243.918290743518,0.04895291449913298,0.41326490000000005,0.2451525007584165,2.104327,-0.8444502,0.10235891,20.016035234450378,1.2555582989138614,-0.03555064347518471,0.2631562901058651,424-What About Us.wav
1,0.4722355,3220.9484156703966,3257.5304183055864,6732.967619999275,0.08665823346882613,0.5132142,0.2647663070661921,4.1942453,2.6340132,0.15351488,20.095447727202327,2.3301940341521146,-0.02746088185908919,0.22613241883483398,209-Jesus He Knows Me.wav
2,0.51843673,2511.827282228342,3169.465588579216,5820.539803992116,0.04579136040381065,0.53670853,0.2613287417209467,3.0458703,0.22853933,0.111049615,19.93279763837669,1.2075569232186865,-0.009371037371416976,0.1716746384881189,126-Freedom.wav
3,0.59615225,2335.2853688222503,2249.08484859806,4549.197491625146,0.060590841599797815,0.32400516,0.2291138263979157,17.817642000000003,8.729263000000001,0.3158147,20.09482961548981,3.832307517298792,-0.016447843321192073,0.28822186407394834,344-Sing for the Moment.wav
4,0.32080078,905.962164299438,1119.9590129057492,1532.9573970830108,0.024643471423657186,0.41905278,0.2104553581981464,9.138466000000001,-13.609952,0.15669265,21.094833193181685,0.9716473845362524,-0.03929709957950888,0.05578192267912215,283-Otherside of America.wav
5,0.5140806,3253.319951200211,3603.034476521399,7284.422618759675,0.07158650302226154,0.44451660000000004,0.2449933784447213,2.4385027999999997,0.8462793,0.10785252599999999,20.418501953912386,1.2824596075904116,0.044015402668535715,0.22369398507009647,125-Free Four.wav
6,0.32943213,3224.5801663200427,3894.5436380307283,8061.242921433582,0.06916635075082664,0.40633348,0.2434480796863739,1.3118123,-1.3395827,0.07955686,22.38936943015027,0.8259702781270553,-0.01626013876116086,0.2157087228846583,98-Ekla Chalo Re.wav
7,0.45029923,2884.635977575261,3152.4715194146283,6077.104919244632,0.06936206061371918,0.4589508,0.2588030753978937,16.242655,6.8289304,0.29637453,20.212565965989373,3.911517709945194,0.028092295300061625,0.2633223814487391,179-I Protest.wav
8,0.5056077,3848.543975586315,3673.5901162232503,8142.867427861357,0.10895554713113316,0.46180746,0.26033466382700426,13.775029,7.0579853,0.28914422,19.138472927792808,4.78145911093217,0.006626001232813268,0.2372557153328926,35-Big Jock Knew.wav
9,0.40120652,2244.9396739068447,2525.392117918413,4284.265760297746,0.05962763175445617,0.48463336,0.2537838400920762,6.389695,3.2484796,0.18627067,19.973052922212926,2.649556241555988,0.011862286669287094,0.2890420219687829,191-If I Can Dream.wav
10,0.3188572,2067.407119587301,2172.0895978913413,3897.326433400252,0.06330144338437127,0.41936243,0.2397285077344049,4.4727044000000005,1.3597493,0.16769019,22.156772908869723,1.9507843028774805,0.01988174991919896,0.2554564171561872,437-Who Needs the Peace Corps?.wav
11,0.5420949,2376.074878103655,2939.831291464729,5472.208576970056,0.0412437694375996,0.43089855,0.2351150205457891,16.267,3.8472779999999998,0.25806725,21.965769519911323,2.198154491387292,-0.007211781203448205,0.19756879457344784,235-Lookin' Back.wav
12,0.49229753,2141.617954478302,2349.010719169189,4279.165791136562,0.05813548226308068,0.53490275,0.260690190805354,4.836434,0.5621038,0.16420248,19.530971690450087,2.4500271583704856,0.014777929915001363,0.275292148946867,164-%22Heroes%22.wav
13,0.3628608,1939.130689497601,2539.187160772719,3743.0440329914863,0.04777873430073784,0.36636946,0.22012301762935735,0.53542435,-9.470286999999999,0.04267073,21.696039040035547,0.4074327644509292,-0.004117610001243689,0.22684596975292515,43-Blowin' in the Wind.wav
14,0.43505526,2290.466270718395,2730.019707430828,4481.8645654448055,0.05055809165771572,0.41220984,0.2353715844278592,3.040963,1.4830873,0.12169151,21.22517049297793,1.4366396451738808,-0.035280905265679695,0.1968671759925046,193-If I Had a Rocket Launcher.wav
15,0.32416034,2752.0079245947018,2735.1660584809674,5201.993544256724,0.09883470054688542,0.3692988,0.20840878352657854,0.8932949,-7.165925,0.077673,23.713536927413394,0.8709684587292209,-0.0006178984184681954,0.2196208193631783,234-The Lonesome Death of Hattie Carroll.wav
16,0.5157782,2754.5305398971477,2738.929823176224,5318.3011742937315,0.068952967151773,0.54947865,0.27271609065305324,6.1488557,5.144317,0.18940724,19.235886057666182,2.897526890685901,-0.002411238422240533,0.3023245823359811,82-The Dicks Hate the Police.wav
17,0.45216632,2882.086224964741,2780.915659799802,5653.299148606811,0.07423480795827103,0.48203805,0.2489694982651859,19.748018,5.8768272,0.32278848,18.469071650899703,4.580442412254163,0.05476094146315985,0.2521039174355207,446-Wretches and Kings.wav
18,0.5759943000000001,3094.623905690212,3343.496427088655,6670.1180000423265,0.06767170025905099,0.48157619999999995,0.2588246090740487,13.095832000000001,5.9745574,0.25578284,20.953987621393992,2.7855427808075954,0.029660762687595432,0.2082032294863311,341-Shoot the Dog.wav
19,0.49168625,3752.8160258036078,3773.74164665208,8058.626270589444,0.08025527754961634,0.40083084,0.244435437492334,17.674044,7.0355334,0.30064009999999997,19.60735571061648,3.8516744662452864,-0.03350538123698032,0.2508380725272406,221-Lamborghini Angels.wav
20,0.5796711999999999,3681.8952179329694,3600.8910243279133,7977.268429215847,0.0826124133864072,0.56542736,0.269070595654716,8.898762,5.6107593,0.21561992,18.501471103169102,3.1242896412347565,0.035117650273016165,0.1761490413226005,131-Fuck the Millennium.wav
21,0.5476888000000001,2757.2439443722387,2928.2287034279834,5642.465880780766,0.05728442254094621,0.38762408,0.241544714619186,3.7624686,4.302797,0.14183956,19.390055282539844,1.8374632952758712,0.03770239697641757,0.27799174878450744,96-Edge of a Revolution.wav
22,0.52834094,1999.7651537460818,2272.57618392907,3908.284700470443,0.04552089256755334,0.5024481,0.25570996061219714,24.788782,6.219688,0.35567114,20.186854847478973,3.5791668617852306,0.003494983322130717,0.21289046513050325,383-This Is Nigeria.wav
23,0.46051282,2795.4341508520424,2726.121704057966,5405.842311611115,0.07982514058254883,0.54226696,0.26951706107217616,13.737589000000002,3.7018032,0.28725812,19.941841808179856,4.535951648510911,0.003710219096410304,0.2740404504714921,58-California Über Alles.wav
24,0.44716895,2361.421955129475,2809.4538605494763,5081.46093976756,0.040188040128332034,0.5386116999999999,0.26551741864968864,5.5029639999999995,2.2205286,0.17621171,19.71972216511545,1.8867419499214653,0.03155158428269072,0.1903956675189193,252-Million Dollar Loan.wav
